Beautiful,Confident,Mean,Cruel,Agreeable,Serious,Wise,Helpful,Healthy,Weird
5.263157895,5.13559322,3.95,3.847457627,4.5,4.220338983,4.416666667,4.526315789,5.109090909,3.120689655
4.280701754,4.406779661,5.050847458,4.344827586,3.5,5.466666667,3.898305085,3.362068966,5.037037037,3.310344828
3.245614035,4.327586207,4.6,4.254237288,3.166666667,4.716666667,4.533333333,3.842105263,3.636363636,3.263157895
4.285714286,4.583333333,4.45,4.203389831,3.883333333,4.266666667,3.883333333,4.052631579,4.618181818,3.859649123
5.070175439,4.830508475,2.25,2.440677966,5.3,3.433333333,4.593220339,5.280701754,5.254545455,2.543859649
5.210526316,4.237288136,2.933333333,2.813559322,4.733333333,4.266666667,4.266666667,5.034482759,5.127272727,2.896551724
4.473684211,4.237288136,2.6,2.644067797,5.383333333,4.15,4.9,5.224137931,4.836363636,2.649122807
2.649122807,3.616666667,4.583333333,4.362068966,3.2,5.322033898,4.766666667,3.789473684,3.581818182,4.344827586
2.49122807,2.616666667,3.266666667,3.474576271,3.898305085,4.881355932,4.166666667,3.896551724,3.436363636,4.551724138
5.807017544,4.383333333,2.457627119,2.288135593,5.25,3.525423729,4.666666667,5.310344828,5.4,2.754385965
5.087719298,4.783333333,2.533333333,2.203389831,5.4,2.965517241,4.6,5.928571429,5.418181818,3.051724138
4.5,4.116666667,3.2,2.728813559,4.666666667,3.966666667,4.362068966,4.982758621,4.927272727,3.051724138
4.456140351,4.1,3.05,2.93220339,4.95,3.683333333,4.05,5.0,4.981818182,4.421052632
4.964285714,4.542372881,3.416666667,3.101694915,4.75,4.583333333,5.169491525,5.070175439,5.018181818,2.396551724
5.0,4.566666667,3.1,2.86440678,4.766666667,3.933333333,4.166666667,4.362068966,5.381818182,3.0
4.928571429,4.283333333,3.083333333,2.745762712,4.9,4.05,4.166666667,5.0,5.545454545,2.379310345
4.614035088,4.35,2.728813559,2.677966102,5.1,3.206896552,4.533333333,5.224137931,4.907407407,3.620689655
4.526315789,4.55,2.25,2.169491525,5.35,2.881355932,4.433333333,5.379310345,5.490909091,3.551724138
3.105263158,4.65,4.8,3.898305085,3.322033898,4.866666667,4.333333333,3.586206897,3.872727273,3.327586207
2.175438596,4.233333333,5.4,4.603448276,3.05,5.616666667,4.15,2.948275862,3.145454545,3.913793103
4.561403509,4.474576271,4.116666667,3.93220339,3.916666667,4.733333333,3.95,3.931034483,4.490909091,2.666666667
2.438596491,3.933333333,5.216666667,4.830508475,2.616666667,5.233333333,3.152542373,2.482758621,3.090909091,4.913793103
3.070175439,4.55,3.933333333,3.949152542,4.266666667,3.083333333,3.8,4.034482759,3.054545455,5.293103448
3.98245614,4.783333333,4.7,4.406779661,3.9,5.35,4.610169492,3.620689655,4.290909091,3.859649123
4.107142857,4.716666667,2.95,2.966101695,4.883333333,3.084745763,4.133333333,4.827586207,4.563636364,3.803571429
4.107142857,4.6,4.433333333,4.694915254,3.366666667,5.033333333,3.716666667,3.137931034,4.272727273,3.666666667
2.631578947,3.206896552,3.75,4.017241379,3.466666667,4.433333333,3.050847458,3.482758621,3.611111111,5.052631579
2.526315789,3.866666667,4.847457627,5.084745763,3.316666667,4.75,3.288135593,2.724137931,3.203703704,4.948275862
2.631578947,4.383333333,5.372881356,4.796610169,2.833333333,5.4,4.0,2.931034483,3.781818182,4.431034483
3.947368421,4.423728814,3.466666667,3.677966102,3.783333333,4.416666667,4.116666667,4.052631579,4.636363636,3.775862069
3.267857143,4.25,4.559322034,3.898305085,3.6,4.783333333,3.779661017,3.034482759,4.490909091,4.140350877
2.625,3.830508475,3.916666667,4.050847458,3.543859649,4.466666667,4.086206897,3.736842105,3.109090909,4.0
3.175438596,4.949152542,3.133333333,2.879310345,4.5,3.333333333,4.508474576,4.827586207,3.518518519,3.931034483
4.719298246,4.728813559,3.466666667,2.75862069,4.661016949,4.389830508,4.45,4.517241379,5.092592593,2.689655172
2.929824561,4.711864407,4.95,4.644067797,3.633333333,5.152542373,3.949152542,3.413793103,4.018181818,4.157894737
4.719298246,5.15,5.116666667,4.86440678,3.15,5.766666667,4.266666667,3.438596491,5.236363636,2.793103448
2.0,3.216666667,2.847457627,3.305084746,3.813559322,3.066666667,3.15,3.824561404,3.290909091,5.931034483
3.070175439,4.0,3.166666667,2.847457627,4.689655172,3.65,4.1,4.293103448,4.5,4.034482759
2.456140351,4.915254237,5.796610169,5.672413793,2.466666667,5.283333333,3.338983051,2.534482759,3.654545455,4.965517241
2.375,3.775862069,3.883333333,3.915254237,3.866666667,3.916666667,3.95,3.879310345,2.890909091,4.568965517
2.649122807,3.55,3.637931034,3.593220339,3.559322034,4.322033898,3.233333333,3.344827586,3.272727273,5.465517241
2.912280702,3.8,4.216666667,4.017241379,3.6,4.4,3.533333333,3.344827586,4.4,4.655172414
3.070175439,3.716666667,3.677966102,3.762711864,3.483333333,4.13559322,3.133333333,3.431034483,4.218181818,4.862068966
2.49122807,3.050847458,4.133333333,4.169491525,3.45,4.333333333,3.316666667,3.206896552,3.272727273,4.74137931
3.381818182,3.566666667,4.4,4.189655172,3.13559322,4.2,3.383333333,2.810344828,4.309090909,4.620689655
2.910714286,4.116666667,3.466666667,3.542372881,4.083333333,3.683333333,4.616666667,4.206896552,3.4,4.122807018
4.052631579,3.666666667,3.683333333,3.271186441,3.933333333,4.5,3.25,3.793103448,4.909090909,3.070175439
3.824561404,4.474576271,4.116666667,3.694915254,3.95,4.183333333,4.533333333,4.034482759,4.37037037,3.526315789
3.649122807,4.433333333,2.9,2.474576271,5.033333333,2.86440678,3.333333333,4.561403509,4.363636364,3.824561404
2.614035088,4.15,4.4,3.830508475,3.65,4.283333333,3.966666667,4.034482759,3.254545455,4.431034483
4.561403509,4.633333333,2.95,2.474576271,4.95,3.457627119,4.016666667,4.620689655,5.272727273,3.137931034
3.357142857,4.016666667,3.116666667,2.966101695,4.75,3.483333333,4.101694915,4.551724138,4.072727273,4.948275862
4.368421053,3.833333333,3.05,2.86440678,4.483333333,4.25,3.516666667,3.827586207,4.927272727,4.206896552
3.333333333,4.183333333,2.86440678,2.847457627,5.103448276,3.372881356,3.933333333,4.689655172,5.036363636,3.844827586
2.631578947,3.466666667,3.083333333,3.016949153,4.15,4.266666667,3.883333333,4.0,3.436363636,5.035714286
3.228070175,4.783333333,5.533333333,4.93220339,3.016666667,5.508474576,3.745762712,2.732142857,4.018181818,4.877192982
4.596491228,5.06779661,3.389830508,2.810344828,4.75,4.728813559,4.3,4.620689655,5.618181818,2.413793103
4.357142857,4.559322034,3.766666667,3.389830508,4.5,4.65,4.533333333,4.5,5.290909091,2.655172414
4.839285714,4.166666667,3.627118644,3.355932203,4.466666667,4.762711864,3.916666667,4.103448276,4.763636364,3.379310345
5.140350877,5.35,3.766666667,2.966101695,4.733333333,4.616666667,4.566666667,4.465517241,5.290909091,2.689655172
4.107142857,5.283333333,4.305084746,3.593220339,4.333333333,5.416666667,4.793103448,4.245614035,5.185185185,2.327586207
4.321428571,5.166666667,5.1,4.728813559,3.203389831,5.2,4.169491525,2.931034483,4.636363636,4.810344828
4.473684211,4.266666667,3.333333333,2.661016949,4.728813559,3.4,3.683333333,4.035087719,4.818181818,3.775862069
3.428571429,3.566666667,2.683333333,2.810344828,4.533333333,3.55,4.183333333,4.24137931,4.509090909,4.379310345
4.035714286,4.216666667,3.85,3.610169492,4.2,4.033333333,4.416666667,3.719298246,4.854545455,4.724137931
3.122807018,4.433333333,3.949152542,4.152542373,3.516666667,5.016666667,4.25,3.413793103,3.890909091,4.034482759
4.333333333,4.316666667,3.915254237,4.118644068,3.766666667,4.583333333,4.033333333,3.982758621,4.814814815,3.421052632
2.842105263,3.983333333,3.355932203,3.423728814,4.3,4.186440678,4.116666667,4.403508772,3.254545455,4.706896552
5.428571429,5.033333333,3.783333333,3.120689655,4.406779661,4.116666667,4.483333333,4.793103448,5.381818182,2.315789474
4.607142857,3.716666667,2.576271186,2.517241379,5.203389831,4.433333333,4.416666667,4.75862069,5.072727273,3.310344828
3.859649123,4.2,3.816666667,4.13559322,4.166666667,4.25,3.7,4.120689655,4.727272727,4.140350877
3.75,3.716666667,4.05,3.915254237,3.983333333,5.05,3.983333333,3.931034483,4.763636364,3.631578947
5.333333333,4.05,3.75,3.406779661,4.293103448,4.4,3.516666667,3.827586207,5.109090909,2.701754386
5.543859649,4.542372881,2.288135593,2.13559322,5.566666667,3.466666667,4.316666667,5.551724138,5.763636364,2.620689655
5.368421053,5.137931034,3.516666667,3.050847458,4.683333333,4.35,4.633333333,4.827586207,5.436363636,2.482758621
4.315789474,4.233333333,2.733333333,2.559322034,5.05,3.55,4.516666667,5.137931034,5.0,3.017241379
